,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,hometown,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, stops, bpm, obpm, dbpm,New Conf
14,John Tonje,Colorado St.,MWC,32,77.3,106.1,23.5,54.9,59.88,2.7,15.5,8.6,15.5,106,130,0.815,94,172,0.547,1.3,1.4,40.1,Sr,5-Jun,1,2.96859,2023,71519,"Omaha, NE",Missouri,0.704895862,65,97,29,75,0.670103093,0.386666667,11,13,0.846153846,2.73483,0,1.10173,1.96213,-0.8604,SEC
15,Pierce Spencer,Nicholls St.,Slnd,19,53.5,95.2,17,45.9,47.58,3.7,13.5,16.7,21,19,31,0.613,38,83,0.458,1,3.1,21.4,Jr,3-Jun,5,0.0524127,2023,73727,"Porter, TX",Milwaukee,1.499947501,28,53,10,30,0.528301887,0.333333333,1,1,1,2.56876,0,-1.03294,-1.5362,0.503257,Horz
16,Wheza Panzo,Stetson,ASun,29,74.5,130.6,11.3,60.3,61.43,2.8,16,6.4,6.8,15,19,0.789,12,40,0.3,2,1.7,10.6,Sr,7-Jun,1,2.6771,2023,71131,"Mississauga, ON",Iona,2.833376389,7,24,5,16,0.291666667,0.3125,1,1,1,1.8481,0,4.08355,3.58468,0.498864,MAAC
17,Dallion Johnson,Penn St.,B10,23,13.4,90,15.2,45.2,45.19,0.6,9.1,7.1,10.2,0,0,0,7,15,0.467,0,1.2,0,Jr,3-Jun,23,-0.0131087,2023,73219,"Haverhill, MA",Florida Gulf Coast,1.599816007,5,10,2,5,0.5,0.4,0,0,0,0.769884,0,-1.84195,-0.587357,-1.25459,ASun
18,Marion Humphrey,UT Arlington,WAC,28,60.9,85.9,19.1,36.3,41.33,3,9.3,19.7,20.5,47,74,0.635,56,149,0.376,1.2,2.7,41.3,Jr,3-Jun,55,-0.00368319,2023,70570,"Hoover, AL",Texas A&M Corpus Chris,1.607828835,33,62,23,87,0.532258065,0.264367816,6,10,0.6,2.14462,0,-1.81463,-2.67396,0.85933,Slnd
19,A'lahn Sumler,Northern Kentucky,Horz,27,19.8,84.8,18,41.8,43.09,3.9,6.9,6.8,19.9,6,10,0.6,11,28,0.393,0,1.7,13.7,Fr,3-Jun,4,-0.249939,2023,76611,"Buford, GA",Charleston Southern,0.611137035,7,19,5,10,0.368421053,0.5,0,0,0,0.730903,0,-6.48406,-4.24846,-2.23561,BSth
20,Cole Bajema,Washington,P12,31,70.9,106.6,14.5,50.5,55.55,2.6,12.8,3.6,13.9,57,67,0.851,34,77,0.442,1.2,1.7,31.5,Sr,7-Jun,22,1.65698,2023,70392,"Lynden, WA",Utah,0.531240918,28,50,7,28,0.56,0.25,5,7,0.714285714,3.10091,0,1.94182,1.0014,0.940418,P12
21,Jordan Minor,Merrimack,NEC,26,69.5,100.3,31.3,51,53.07,12.3,21.4,20.6,15.4,110,190,0.579,175,337,0.519,8.3,2.6,54.9,Sr,8-Jun,22,2.3842,2023,71427,"Kingston, MA",Virginia,0.83332735,161,294,14,43,0.547619048,0.325581395,40,46,0.869565217,3.84463,0,4.73304,-0.70967,5.44271,ACC
22,Bobby Pettiford Jr.,Kansas,B12,32,26.7,89.9,14.1,56,57.44,3,7.9,18.2,37.6,6,8,0.75,28,48,0.583,0.3,1.3,13.8,So,1-Jun,0,0.0456857,2023,75656,"Durham, NC",East Carolina,1.194488889,25,35,3,13,0.714285714,0.230769231,0,0,0,1.37336,0,-1.34287,-2.1612,0.818324,Amer
23,Grant Nelson,North Dakota St.,Sum,29,72.2,109.2,30.4,55.3,58.57,8.3,26.1,15.5,16.4,110,154,0.714,170,283,0.601,5.5,1.5,41.1,Jr,11-Jun,4,3.48187,2023,73609,"Devils Lake, ND",Alabama,0.807692308,116,167,54,116,0.694610778,0.465517241,30,33,0.909090909,3.02021,0,4.43959,1.9812,2.45839,SEC
24,Tahlik Chavez,Charleston Southern,BSth,29,65.1,109.1,20.2,48.7,52.15,0.5,11.4,11.1,11.4,50,64,0.781,26,64,0.406,0.3,1.2,24.3,Jr,2-Jun,13,1.80936,2023,72446,"Arlington, TX",Louisiana Tech,1.482736505,9,25,17,39,0.36,0.435897436,0,0,0,1.04034,0,-2.6846,1.61198,-4.29657,CUSA
25,Daniel Schreier,Manhattan,MAAC,14,5.2,94.8,18.6,50,56.38,5.8,25.4,6.8,25.7,5,6,0.833,7,12,0.583,7.2,0,42.9,Sr,9-Jun,11,0.0720893,2023,65960,"Santa Monica, CA",NJIT,0.40016802,7,12,0,0,0.583333333,0,0,0,0,0.373452,0,-6.32511,-6.5991,0.273991,AE
26,Antavion Collum,Cal St. Bakersfield,BW,31,74.1,96.7,27.7,44.3,49.98,5.8,16,13,15.4,104,135,0.77,146,331,0.441,1.1,1.4,38.6,Jr,8-Jun,4,1.92263,2023,72049,"Memphis, TN",McNeese St.,0.716396592,47,89,99,242,0.528089888,0.409090909,3,4,0.75,2.40116,0,-2.8622,-1.60419,-1.25801,Slnd
27,Chance Stephens,Loyola Marymount,WCC,27,37.4,105.9,16,51.9,53.51,0.5,6.2,4.8,13.6,14,19,0.737,3,14,0.214,0,0.3,14.3,Fr,3-Jun,3,0.74177,2023,77143,"Riverside, CA",Maryland,0.722196298,1,8,2,6,0.125,0.333333333,0,0,0,1.19514,0,-2.90429,0.250477,-3.15477,B10
28,Josh Farmer,UTSA,CUSA,30,41.2,94.4,16.8,51.7,54.1,6.3,12.1,4.8,24.1,21,30,0.7,50,95,0.526,3,1.2,25.6,So,9-Jun,4,0.233466,2023,74740,"Houston, TX",Texas Southern,0.282080735,34,54,16,41,0.62962963,0.390243902,10,14,0.714285714,1.07282,0,-2.2434,-2.38481,0.14141,SWAC
29,Even Brauns,Belmont,MVC,30,51.1,120.9,17.1,58.5,60.07,11.3,18.2,10,13.8,36,55,0.655,86,141,0.61,6.4,1.3,37.4,Jr,9-Jun,0,2.08868,2023,73626,"Iowa City, IA",Iowa,1.3846429,81,118,5,23,0.686440678,0.217391304,37,40,0.925,1.95932,0,4.33356,1.6019,2.73167,B10
30,Ben Shtolzberg,Creighton,BE,17,6.5,105.7,17.1,43.8,47.39,5.1,12.2,19.3,14,4,5,0.8,6,11,0.545,0,2.4,20.8,Fr,4-Jun,1,0.366937,2023,76737,"Northridge, CA",UC Santa Barbara,2.750106247,3,5,3,6,0.6,0.5,0,0,0,0.66534,0,3.03204,1.51148,1.52056,BW
31,Anthony Holland,Fresno St.,MWC,29,74.3,112,11.7,56.1,58.21,4.3,13.3,6.5,15.1,24,32,0.75,14,28,0.5,0.7,1.4,21.6,Sr,5-Jun,25,1.43579,2023,70610,"Riverside, CA",Washington,1.2400096,10,19,4,9,0.526315789,0.444444444,1,2,0.5,2.86111,0,2.17317,1.12394,1.04923,P12
32,Rafael Pinzon,St. John's,BE,19,22.3,104.3,18.8,49.5,50.59,3.9,9.1,12.2,14.5,9,14,0.643,29,62,0.468,0,1.1,13.1,So,6-Jun,24,1.00451,2023,75237,"Arecibo, Puerto Rico",Bryant,1.4,11,13,18,49,0.846153846,0.367346939,0,0,0,1.32573,0,-0.552523,0.879966,-1.43249,AE
33,Brantly Stevenson,Cal Poly,BW,31,71.3,104.4,21.6,51.7,56.78,3.2,13.3,13.8,17.1,72,84,0.857,94,180,0.522,1.1,1.5,31.9,Jr,4-Jun,4,1.95448,2023,73130,"Rancho Cucamonga, CA",Cal Baptist,0.925934979,39,61,55,119,0.639344262,0.462184874,5,5,1,2.5058,0,0.349865,0.152594,0.197271,WAC
34,Noah Thomasson,Niagara,MAAC,30,91.2,107.5,30.2,53.5,55.44,2,11.6,24.9,14.3,87,131,0.664,176,334,0.527,1,1.3,27.9,Sr,3-Jun,21,4.00432,2023,71384,"Houston, TX",Georgia,1.3846429,107,178,69,156,0.601123596,0.442307692,1,1,1,2.51223,0,0.260569,2.33814,-2.07757,SEC
35,Ahron Ulis,Iowa,B10,32,54,99.1,15.9,45.6,48.39,0.9,7.3,15.4,17.5,29,41,0.707,50,113,0.442,0.6,1.4,22.5,Jr,3-Jun,1,0.861006,2023,73463,"Chicago, IL",Nebraska,1.91424392,24,47,26,66,0.510638298,0.393939394,1,1,1,1.80814,0,-1.19926,0.405285,-1.60454,B10
36,Arthur Kaluma,Creighton,BE,37,72.8,100.9,23.1,48.3,52.98,6.8,16,10.3,17.5,103,140,0.736,105,213,0.493,1.8,1.1,40.6,So,7-Jun,24,2.31092,2023,75009,"Glendale, AZ",Kansas St.,0.802589942,84,142,21,71,0.591549296,0.295774648,22,25,0.88,3.63004,0,3.07812,0.991997,2.08612,B12
37,Brandon Davis,Texas St.,SB,30,40.2,89.7,18.8,46.4,48.19,4.3,13.9,6.3,22.7,15,22,0.682,29,73,0.397,0.7,2.1,15.7,Jr,1-Jun,10,0.101413,2023,76190,"LaPlace, LA",Southern,0.447326316,19,35,10,38,0.542857143,0.263157895,0,0,0,1.38765,0,-3.35686,-1.99584,-1.36102,SWAC
38,AJ Neal,Long Beach St.,BW,14,5.7,81.2,22.8,47.5,49.77,1.6,1.7,2.7,24.1,8,15,0.533,5,8,0.625,0,1.6,75,Fr,1-Jun,22,-0.015669,2022,74780,"Orlando, FL",Chicago St.,0.5,4,4,1,4,1,0.25,0,0,0,0.343466,0,-8.90185,-4.35856,-4.54329,ind
39,Dawson Baker,UC Irvine,BW,33,69.7,108.1,26.2,52.3,56.88,2.2,10.6,9.7,13.1,111,140,0.793,131,260,0.504,0.2,1.7,36.1,Jr,4-Jun,1,2.91805,2023,72910,"Coto De Caza, CA",BYU,0.754390274,77,129,54,131,0.596899225,0.41221374,0,0,0,2.62374,0,1.60748,2.0124,-0.404919,WCC
40,Malcolm Wilson,Georgetown,BE,9,2.6,104.4,8.6,25,30.3,15.9,26.4,0,0,1,2,0.5,1,4,0.25,3.1,1.7,50,Jr,Jul-00,32,0.075278,2023,72115,"Columbia, SC",Queens,0,1,3,0,1,0.333333333,0,1,1,1,0.414063,0,-7.36686,-4.18568,-3.18118,ASun
41,Adrian Baldwin Jr.,VCU,A10,30,74.9,107.4,22.5,48.5,54.03,2.1,7.7,33.2,19.9,93,117,0.795,87,186,0.468,0.4,3.7,39.4,Jr,1-Jun,1,3.01749,2023,73814,"Baltimore, MD",Penn St.,2.162485469,41,76,46,110,0.539473684,0.418181818,0,0,0,4.38832,0,4.42828,2.9018,1.52649,B10
42,Jake Murphy,Air Force,MWC,9,2.3,26.6,23.6,10,10,0,4.2,12.1,26.6,0,0,0,1,3,0.333,0,2.1,0,So,4-Jun,23,-0.697987,2023,75817,"Phoenix, AZ",UNC Wilmington,0.666666667,1,1,0,2,1,0,0,0,0,0.243167,0,-18.9844,-14.6267,-4.35769,CAA
43,Tyler Nickel,North Carolina,ACC,25,11.2,119.1,17.1,45,53.03,6.7,5.2,8.6,6.7,16,19,0.842,9,13,0.692,2,1.2,47.5,Fr,7-Jun,24,0.618551,2023,76761,"Harrisonburg, VA",Virginia Tech,2.333333333,4,5,5,8,0.8,0.625,1,1,1,0.596561,0,3.11503,3.48263,-0.367597,ACC
44,Amoro Lado,Hawaii,BW,8,3.6,23.2,13.1,9.1,9.09,0,7.4,3.9,20.1,0,0,0,1,5,0.2,4.1,2.6,0,Jr,2-Jun,1,-1.35976,2023,74930,"Nampa, ID",Lindenwood,1,0,2,1,3,0,0.333333333,0,0,0,0.686074,0,-6.78421,-9.72406,2.93985,OVC
45,Johnathan Lawson,Memphis,Amer,29,32.2,100.5,12.3,58.6,59.55,1.9,8.5,11.8,28.9,10,15,0.667,16,30,0.533,1.8,1.2,19.7,Fr,6-Jun,11,0.298763,2023,75023,"Memphis, TN",Creighton,1.1724,7,14,9,16,0.5,0.5625,0,0,0,1.49078,0,1.32664,0.454241,0.872402,BE
46,Noah Taitz,Stanford,P12,14,15.5,98.7,17,51.7,51.77,1.2,12.3,10.3,19.4,3,6,0.5,6,21,0.286,0,1.5,10.3,So,3-Jun,20,0.601863,2022,73704,"Las Vegas, NV",Loyola Marymount,0.90912562,4,9,2,12,0.444444444,0.166666667,1,1,1,1.26524,0,-1.15689,-0.37496,-0.78193,WCC
47,Lance-Amir Paul,Nicholls St.,Slnd,23,41.6,96.9,21.3,41.1,47.2,2.9,4.9,20.9,18,42,57,0.737,42,99,0.424,0,2.7,42.2,Sr,Jun-00,40,0.460919,2023,77588,"Kingston, Jamaica",Texas A&M Corpus Chris,1.605336983,32,70,10,29,0.457142857,0.344827586,0,0,0,1.30087,0,-5.33156,-2.26986,-3.0617,Slnd
48,Bradley Ezewiro,Georgetown,BE,27,25.4,107.8,18.5,51.9,54.43,10.9,21.2,1.2,12.3,34,58,0.586,41,79,0.519,5.9,1.4,73.4,So,9-Jun,22,1.0164,2023,75683,"Torrance, CA",Saint Louis,0.153894081,41,72,0,7,0.569444444,0,15,19,0.789473684,1.18717,0,-2.53086,-1.96667,-0.564197,A10
49,KJ Jenkins,New Mexico,MWC,32,44.3,114.5,17.1,55.6,57.33,1,9.6,9.8,10.4,24,32,0.75,34,82,0.415,0.4,2.2,17,Sr,2-Jun,0,1.65247,2023,74268,"Atlanta, GA",UNC Wilmington,1.649892757,13,24,21,58,0.541666667,0.362068966,0,0,0,1.74412,0,2.29143,3.34686,-1.05543,CAA
50,Nikita Konstantynovskyi,Tulsa,Amer,2,0.9,200,3.5,100,100,0,21.4,0,0,0,0,0,1,1,1,0,0,0,Jr,10-Jun,12,1.40995,2023,74604,"Kyiv, Ukraine",Monmouth,0,1,1,0,0,1,0,0,0,0,0.28326,0,-6.77082,-3.89474,-2.87608,CAA
51,Tray Jackson,Seton Hall,BE,29,33.3,101.4,22.5,52.1,55.75,6.3,11.4,2.7,17.7,42,60,0.7,51,101,0.505,2.7,1,42.6,Sr,10-Jun,1,1.15005,2023,71715,"Detroit, MI",Michigan,0.1724,44,73,7,28,0.602739726,0.25,12,15,0.8,1.67728,0,-1.83578,-1.04755,-0.788225,B10
52,Darius Beane,Cal St. Northridge,BW,23,43.3,82.6,17.4,37.1,42.38,3.9,11.2,6.6,18.7,26,33,0.788,40,106,0.377,0.7,2,27.5,Sr,3-Jun,25,-0.409361,2022,66117,"Carbondale, IL",Lindenwood,0.666666667,16,29,24,77,0.551724138,0.311688312,2,2,1,1.18632,0,-6.88914,-4.66147,-2.22767,OVC
53,Isaac Jones,Idaho,BSky,29,77.9,118.7,28.7,62.5,64.49,7.9,22.9,14.6,13.5,138,203,0.68,203,319,0.636,3.8,1.2,60.2,Jr,9-Jun,3,4.62558,2023,76776,"Spanaway, WA",Washington St.,0.868882452,173,242,30,77,0.714876033,0.38961039,63,67,0.940298507,2.36541,0,2.7636,2.61043,0.153167,P12
54,Tre Mitchell,West Virginia,B12,34,74.6,107.3,20.2,53,56.86,5.4,17.5,11.8,20.4,75,95,0.789,107,205,0.522,2.3,1.6,31.3,Sr,9-Jun,3,2.89203,2023,71288,"Pittsburgh, PA",Kentucky,0.835592194,59,88,48,117,0.670454545,0.41025641,13,14,0.928571429,3.45161,0,5.46613,2.70216,2.76397,SEC
55,Max Allen,San Jose St.,MWC,7,3.1,98.8,17.7,60,63.69,8.5,25.6,13.4,34.3,4,6,0.667,3,4,0.75,0,0,120,Fr,9-Jun,2,0.152556,2023,77508,"Las Vegas, NV",Marist,1.25,2,3,1,1,0.666666667,1,0,0,0,0.498925,0,-2.7033,-2.27014,-0.433164,MAAC
56,PJ Haggerty,TCU,B12,6,3.8,108.9,16.9,55.6,64.03,2.1,17.3,15.9,25.2,7,9,0.778,5,8,0.625,0,2.1,100,Fr,3-Jun,3,0.411057,2023,76719,"Crosby, TX",Tulsa,1.249887506,4,5,1,3,0.8,0.333333333,1,1,1,0.913547,0,0.752413,-0.437297,1.18971,Amer
57,Avery Anderson III,Oklahoma St.,B12,22,42.6,94.8,25.4,42.7,51.13,1.5,12.4,25.3,24.8,79,96,0.823,66,132,0.5,1.5,3,49.7,Sr,3-Jun,0,1.84985,2023,71367,"Justin, TX",TCU,1.136366667,41,69,25,63,0.594202899,0.396825397,2,2,1,3.70545,0,3.22849,0.00664586,3.22184,B12
58,DJ Richards,UTSA,CUSA,30,69,98.5,20.9,47.2,51,2.8,16.6,6.9,15.5,60,79,0.759,43,104,0.413,0.1,0.8,27.7,Fr,5-Jun,5,1.31733,2023,77367,"Houston, TX",McNeese St.,0.571447231,19,39,24,65,0.487179487,0.369230769,1,1,1,1.72475,0,-2.1176,0.210641,-2.32825,Slnd
59,RJ Melendez,Illinois,B10,32,51.5,102.7,15.7,44.7,49.79,5.2,13.1,7.2,15.9,40,48,0.833,40,79,0.506,2,1.8,28.2,So,7-Jun,15,0.948932,2023,75084,"Arecibo, Puerto Rico",Georgia,0.933333333,32,50,8,29,0.64,0.275862069,13,13,1,2.66188,0,1.94464,0.294496,1.65015,SEC
60,Lesown Hallums,South Carolina St.,MEAC,24,52.6,93.5,22,48.6,51.22,3.9,10,14.6,23.6,42,63,0.667,81,177,0.458,1.4,2,28.8,So,2-Jun,0,0.622131,2023,77630,"Brooklyn, NY",Pacific,0.770468584,63,129,18,48,0.488372093,0.375,4,4,1,0.926301,0,-4.82777,-2.41513,-2.41264,WCC
61,Mekhi Long,Old Dominion,SB,29,79,107.7,18.6,51.1,54.83,7.8,21.3,7.4,16.5,80,120,0.667,77,156,0.494,2.1,2.9,51.5,Jr,7-Jun,0,2.15839,2023,70243,"Bryans Road, MD",Virginia Tech,0.7600048,67,114,10,42,0.587719298,0.238095238,15,16,0.9375,3.7408,0,3.27039,1.01262,2.25778,ACC
62,Collin Moore,Georgia St.,SB,13,35.2,104,23.2,56.1,59.42,2.7,14.8,7.7,20,46,67,0.687,39,67,0.582,2.7,4.2,54.5,So,4-Jun,24,2.31968,2023,72714,"North Little Rock, AR",Grand Canyon,0.419357544,35,50,4,17,0.7,0.235294118,9,10,0.9,3.09743,0,2.19855,0.674788,1.52376,WAC
63,Tevin Smith,Denver,Sum,24,59.8,96.7,20.2,48.4,52.26,0.7,12.2,9.8,19,55,77,0.714,82,167,0.491,2.6,1,35.6,So,5-Jun,1,0.544136,2023,75369,"Danville, IL",Cleveland St.,0.755102041,48,87,34,80,0.551724138,0.425,2,5,0.4,1.71731,0,-3.82926,-2.83779,-0.99147,Horz
64,Byron Ireland,Maine,AE,9,1.8,100.9,25.6,58.3,60.61,0,12.7,21.1,23.6,2,3,0.667,2,5,0.4,0,0,50,So,1-Jun,0,0.148031,2023,75020,"Annapolis, MD",Nicholls St.,3.66703337,2,4,0,1,0.5,0,0,0,0,0.133739,0,-9.77964,-4.2901,-5.48955,Slnd
65,Jason Spurgin,Southern Utah,WAC,33,70.1,111.2,17.6,60.2,61.99,9.6,14.4,7.1,21,70,106,0.66,128,197,0.65,6.5,1.4,49.3,So,11-Jun,14,2.13837,2023,72867,"Toowoomba, Australia",Bowling Green,0.617640657,120,178,8,19,0.674157303,0.421052632,34,38,0.894736842,2.76982,0,4.8145,1.20509,3.60941,MAC
66,Donovan Oday,McNeese St.,Slnd,33,41,94.5,18.8,41,46.66,5.1,10.4,12.8,20.6,39,51,0.765,38,84,0.452,0.6,2.2,35.4,Fr,3-Jun,2,0.138148,2023,77404,"Arlington, TX",Cal St. Fullerton,1.138930865,31,58,7,26,0.534482759,0.269230769,1,2,0.5,0.826537,0,-4.80955,-2.36599,-2.44356,BW
67,Lucas Monroe,Penn,Ivy,29,58.7,103.9,14.4,43.4,51.56,6,21.5,14.2,22.4,45,54,0.833,45,102,0.441,3.1,1.7,47.4,Sr,6-Jun,22,0.679732,2023,71574,"Abington, PA",Drexel,1.589769231,35,67,11,37,0.52238806,0.297297297,8,11,0.727272727,2.28998,0,2.00822,-0.590048,2.59826,CAA
68,Kwane Marble,Loyola Marymount,WCC,24,25.8,95.4,14.1,47.9,53.84,4.2,15.6,7,26.4,23,34,0.676,12,27,0.444,0,1.9,72.3,Sr,5-Jun,11,0.0401314,2023,71833,"Denver, CO",Niagara,0.650066003,12,24,0,3,0.5,0,0,0,0,1.26526,0,-1.95163,-2.13151,0.179884,MAAC
69,Quentin Millora-Brown,Vanderbilt,SEC,36,44.8,112.1,12.9,49,51.77,12.7,13,6.5,16.7,31,52,0.596,46,94,0.489,3.5,1.2,53.6,Sr,10-Jun,42,1.23014,2023,65676,"Lorton, VA",The Citadel,1,36,68,10,26,0.529411765,0.384615385,5,6,0.833333333,1.75793,0,3.80251,1.71064,2.09187,SC
70,Issa Muhammad,New Mexico St.,WAC,20,59.4,109,17.4,58.5,57.97,5.9,18.6,4.2,13.7,24,46,0.522,75,125,0.6,2.4,1.2,33.8,Jr,9-Jun,2,1.78834,2023,77112,"Atlanta, GA",Tennessee Martin,0.479944802,58,78,17,47,0.743589744,0.361702128,28,31,0.903225806,1.99139,0,-1.0749,-0.680453,-0.394448,OVC
71,Saxby Sunderland,East Carolina,Amer,11,3.5,73.8,12.5,31.3,31.25,0,14.9,24.2,30.3,0,0,0,1,4,0.25,0,2.5,0,Fr,3-Jun,0,-0.322774,2023,75897,"Arlington, VA",Longwood,2.000366703,1,3,0,1,0.333333333,0,0,0,0,0.370889,0,-6.18404,-5.93346,-0.250585,BSth
72,Langston Wilson,Washington,P12,18,8.5,108.5,16.3,53.4,53.45,16.2,19.2,3.8,15.9,0,0,0,14,24,0.583,4.6,1,0,Sr,9-Jun,13,0.429862,2023,75156,"Upper Darby, PA",Milwaukee,0.399928006,12,18,2,6,0.666666667,0.333333333,8,10,0.8,0.734307,0,0.634582,-0.190981,0.825563,Horz
73,LaQuill Hardnett,Buffalo,MAC,29,71.5,107,18.8,53.3,55.61,9.4,18.3,6.8,17.5,66,104,0.635,97,179,0.542,1.3,1.6,43.2,Sr,8-Jun,1,1.81337,2023,66357,"Philadelphia, PA",Arkansas St.,0.672697554,71,119,26,62,0.596638655,0.419354839,2,3,0.666666667,2.53697,0,0.453962,0.550189,-0.0962269,SB
